Issue,Vol.,Title,Collecting,Release date,,,,,,,,,
25,20,Ultimate Spider-Man: Power and Responsibility,Ultimate Spider-Man #1-7,28 Nov 2012,http://marvel.com/comics/issue/4372/ultimate_spider-man_2000_1,http://marvel.com/comics/issue/14846/ultimate_spider-man_2000_2,http://marvel.com/comics/issue/14857/ultimate_spider-man_2000_3,http://marvel.com/comics/issue/14868/ultimate_spider-man_2000_4,http://marvel.com/comics/issue/14879/ultimate_spider-man_2000_5,http://marvel.com/comics/issue/14890/ultimate_spider-man_2000_6,http://marvel.com/comics/issue/14901/ultimate_spider-man_2000_7,,
26,6,Marvel Super Heroes: Secret Wars (Part 1),Marvel Super Heroes: Secret Wars #1-6,12 Dec 2012,http://marvel.com/comics/issue/10580/secret_wars_1984_1,http://marvel.com/comics/issue/10584/secret_wars_1984_2,http://marvel.com/comics/issue/10585/secret_wars_1984_3,http://marvel.com/comics/issue/10586/secret_wars_1984_4,http://marvel.com/comics/issue/10587/secret_wars_1984_5,http://marvel.com/comics/issue/10588/secret_wars_1984_6,,,
27,16,Thor: In Search of the Gods,Thor (Vol 2) #1-7,26 Dec 2012,http://marvel.com/comics/issue/18631/thor_1998_1,http://marvel.com/comics/issue/18642/thor_1998_2,http://marvel.com/comics/issue/18653/thor_1998_3,http://marvel.com/comics/issue/18664/thor_1998_4,http://marvel.com/comics/issue/18675/thor_1998_5,http://marvel.com/comics/issue/18686/thor_1998_6,http://marvel.com/comics/issue/18697/thor_1998_7,,
28,37,Astonishing X-Men: Dangerous,Astonishing X-Men #7-12,9 Jan 2013,http://marvel.com/comics/issue/38/astonishing_x-men_2004_7,http://marvel.com/comics/issue/1436/astonishing_x-men_2004_8,http://marvel.com/comics/issue/1626/astonishing_x-men_2004_9,http://marvel.com/comics/issue/1719/astonishing_x-men_2004_10,http://marvel.com/comics/issue/2842/astonishing_x-men_2004_11,http://marvel.com/comics/issue/2161/astonishing_x-men_2004_12,,,
29,1,Iron Man: Demon in a Bottle,The Invincible Iron Man #120-128,23 Jan 2013,http://marvel.com/comics/issue/9351/iron_man_1968_120,http://marvel.com/comics/issue/9352/iron_man_1968_121,http://marvel.com/comics/issue/9353/iron_man_1968_122,http://marvel.com/comics/issue/9354/iron_man_1968_123,http://marvel.com/comics/issue/9355/iron_man_1968_124,http://marvel.com/comics/issue/9356/iron_man_1968_125,http://marvel.com/comics/issue/9357/iron_man_1968_126,http://marvel.com/comics/issue/9358/iron_man_1968_127,http://marvel.com/comics/issue/9359/iron_man_1968_128
30,46,The Incredible Hulk: Planet Hulk (Part 2),Incredible Hulk (Vol 2) #100-105 and Amazing Fantasy #15,6 Feb 2013,http://marvel.com/comics/issue/5414/incredible_hulk_1999_100,http://marvel.com/comics/issue/5671/incredible_hulk_1999_101,http://marvel.com/comics/issue/5811/incredible_hulk_1999_102,http://marvel.com/comics/issue/27399/incredible_hulk_1999_103,http://marvel.com/comics/issue/6099/incredible_hulk_1999_104,http://marvel.com/comics/issue/6245/incredible_hulk_1999_105,http://marvel.com/comics/issue/3105/amazing_fantasy_2004_15,,
31,54,Captain America: The Chosen,Captain America: The Chosen #1-6,20 Feb 2013,http://marvel.com/comics/issue/16498/captain_america_the_chosen_2007_1,http://marvel.com/comics/issue/16500/captain_america_the_chosen_2007_2,http://marvel.com/comics/issue/16501/captain_america_the_chosen_2007_3,http://marvel.com/comics/issue/17238/captain_america_the_chosen_2007_4,http://marvel.com/comics/issue/17373/captain_america_the_chosen_2007_5,http://marvel.com/comics/issue/17613/captain_america_the_chosen_2007_6,,,
32,42,New Avengers: Break Out,New Avengers #1-6,6 Mar 2013,http://marvel.com/comics/issue/40/new_avengers_2004_1,http://marvel.com/comics/issue/1438/new_avengers_2004_2,http://marvel.com/comics/issue/1532/new_avengers_2004_3,http://marvel.com/comics/issue/1628/new_avengers_2004_4,http://marvel.com/comics/issue/1720/new_avengers_2004_5,http://marvel.com/comics/issue/1829/new_avengers_2004_6,,,
33,25,Spider-Man: Blue,Spider-Man: Blue #1-6,20 Mar 2013,http://marvel.com/comics/issue/10929/spider-man_blue_2002_1,http://marvel.com/comics/issue/10930/spider-man_blue_2002_2,http://marvel.com/comics/issue/10931/spider-man_blue_2002_3,http://marvel.com/comics/issue/10932/spider-man_blue_2002_4,http://marvel.com/comics/issue/10933/spider-man_blue_2002_5,http://marvel.com/comics/issue/10934/spider-man_blue_2002_6,,,
34,24,New X-Men: Imperial,New X-Men #118-126,3 Apr 2013,http://marvel.com/comics/issue/14937/new_x-men_2001_118,http://marvel.com/comics/issue/14938/new_x-men_2001_119,http://marvel.com/comics/issue/14939/new_x-men_2001_120,http://marvel.com/comics/issue/14940/new_x-men_2001_121,http://marvel.com/comics/issue/14941/new_x-men_2001_122,http://marvel.com/comics/issue/14942/new_x-men_2001_123,http://marvel.com/comics/issue/14943/new_x-men_2001_124,http://marvel.com/comics/issue/14944/new_x-men_2001_125,http://marvel.com/comics/issue/14945/new_x-men_2001_126
